# T1 verification scoring sheet. Fill the `verdict` column for every row.,,,,,,,,,,,,,
#,,,,,,,,,,,,,
# VERDICT CRITERIA -- fixed before scoring, do not drift:,,,,,,,,,,,,
#   real    = P and Q are in contact at the first panel and separated after,,,,,,,,,,,,,
#             AND R and S are apart at the first panel, come into contact at,,,,,,,,,,,,
#             the swap frame, and REMAIN in contact in the later panel(s).,,,,,,,,,,,,
#             A genuine T1 persists.,,,,,,,,,,,,,
#   flicker = the R-S contact appears and then disappears again, or a bubble,,,,,,,,,,,,
#             vanishes/appears, or the boundaries jitter without a coherent,,,,,,,,,,,,
#             rearrangement. Anything that does not persist is flicker.,,,,,,,,,,,,,
#   unclear = you cannot tell from the figure (too small, ambiguous boundary,,,,,,,,,,,,
#             bubble leaves the crop). Use freely -- `unclear` is a real answer,,,,,,,,,,,,,
#             and is analysed separately, not folded into either bucket.,,,,,,,,,,,,
#,,,,,,,,,,,,,
# threshold_set: shipped_mb5 = currently shipped. extra_mb3 / extra_mb1 appear,,,,,,,,,,,,,
#   ONLY at looser thresholds and are NOT shipped; scoring them tells us whether,,,,,,,,,,,,,
#   the conservative threshold is costing real recall.,,,,,,,,,,,,,
# border_*_series are the shared-border lengths (px) across the panels shown.,,,,,,,,,,,,,
event_idx,session,frame_abs,threshold_set,P,Q,R,S,border_PQ_series,border_RS_series,frames_shown,figure,verdict,notes
0,exp1_run0,2,shipped_mb5,59,53,41,55,"[9, 0, 0, 0]","[0, 7, 27, 37]","[1, 2, 3, 4]",t1_000_f002.png,real,
1,exp1_run0,4,shipped_mb5,125,126,81,99,"[16, 0, 0, 0]","[0, 12, 30, 34]","[3, 4, 5, 6]",t1_001_f004.png,real,
2,exp1_run0,7,shipped_mb5,92,87,69,90,"[8, 0, 0, 0]","[0, 5, 40, 42]","[6, 7, 8, 9]",t1_002_f007.png,real,
3,exp1_run0,10,shipped_mb5,23,15,11,19,"[7, 0, 0, 0]","[0, 8, 17, 30]","[9, 10, 11, 12]",t1_003_f010.png,real,
4,exp1_run0,12,shipped_mb5,10,12,5,17,"[17, 0, 0, 0]","[0, 23, 23, 23]","[11, 12, 13, 14]",t1_004_f012.png,real,
5,exp1_run0,12,shipped_mb5,17,22,12,20,"[22, 0, 0, 0]","[0, 35, 36, 37]","[11, 12, 13, 14]",t1_005_f012.png,real,
6,exp1_run0,12,shipped_mb5,18,20,10,21,"[14, 0, 0, 0]","[0, 36, 59, 60]","[11, 12, 13, 14]",t1_006_f012.png,real,
7,exp1_run0,14,shipped_mb5,58,60,46,69,"[12, 0, 0, 0]","[0, 5, 20, 34]","[13, 14, 15, 16]",t1_007_f014.png,real,
8,exp1_run0,22,shipped_mb5,35,30,24,39,"[19, 0, 0, 0]","[0, 9, 26, 29]","[21, 22, 23, 24]",t1_008_f022.png,real,
9,exp1_run0,22,shipped_mb5,42,37,30,41,"[7, 0, 0, 0]","[0, 32, 40, 41]","[21, 22, 23, 24]",t1_009_f022.png,real,
10,exp1_run0,27,shipped_mb5,72,61,81,121,"[20, 0, 0, 0]","[0, 22, 25, 28]","[26, 27, 28, 29]",t1_010_f027.png,real,
11,exp1_run0,27,shipped_mb5,88,97,85,98,"[15, 0, 0, 0]","[0, 14, 21, 27]","[26, 27, 28, 29]",t1_011_f027.png,real,
12,exp1_run0,27,shipped_mb5,90,101,83,94,"[21, 0, 0, 0]","[0, 14, 29, 46]","[26, 27, 28, 29]",t1_012_f027.png,real,
13,exp1_run0,27,shipped_mb5,121,123,50,72,"[23, 0, 0, 0]","[0, 28, 31, 39]","[26, 27, 28, 29]",t1_013_f027.png,real,
14,exp1_run0,29,shipped_mb5,50,123,72,80,"[22, 0, 0, 0]","[0, 9, 10, 12]","[28, 29, 30, 31]",t1_014_f029.png,real,
15,exp1_run0,38,shipped_mb5,60,63,44,69,"[31, 0, 0, 0]","[0, 9, 17, 23]","[37, 38, 39, 40]",t1_015_f038.png,real,
16,exp1_run0,55,shipped_mb5,29,135,14,40,"[5, 0, 0, 0]","[0, 5, 15, 34]","[54, 55, 56, 57]",t1_016_f055.png,real,
17,exp1_run0,4,extra_mb3,66,78,63,77,"[8, 0, 0, 0]","[0, 4, 14, 15]","[3, 4, 5, 6]",t1_017_f004_extra_mb3.png,real,
18,exp1_run0,26,extra_mb3,75,71,41,80,"[3, 0, 0, 0]","[0, 16, 46, 49]","[25, 26, 27, 28]",t1_018_f026_extra_mb3.png,real,
19,exp1_run0,26,extra_mb3,80,124,75,76,"[11, 0, 0, 0]","[0, 4, 28, 30]","[25, 26, 27, 28]",t1_019_f026_extra_mb3.png,real,
20,exp1_run0,6,extra_mb3,56,58,46,60,"[7, 0, 0, 0]","[0, 4, 23, 35]","[5, 6, 7, 8]",t1_020_f006_extra_mb3.png,real,
21,exp1_run0,2,extra_mb3,45,38,33,44,"[7, 0, 0, 0]","[0, 4, 17, 51]","[1, 2, 3, 4]",t1_021_f002_extra_mb3.png,real,
22,exp1_run0,8,extra_mb3,72,65,61,121,"[7, 0, 0, 0]","[0, 4, 34, 39]","[7, 8, 9, 10]",t1_022_f008_extra_mb3.png,real,
23,exp1_run0,84,extra_mb1,121,47,50,61,"[5, 0, 0, 0]","[0, 1, 7, 15]","[83, 84, 85, 86]",t1_023_f084_extra_mb1.png,real,
24,exp1_run0,35,extra_mb1,12,22,14,20,"[3, 0, 0, 0]","[0, 1, 7, 27]","[34, 35, 36, 37]",t1_024_f035_extra_mb1.png,real,
25,exp1_run0,72,extra_mb1,9,19,4,14,"[2, 0, 0, 0]","[0, 9, 22, 35]","[71, 72, 73, 74]",t1_025_f072_extra_mb1.png,real,
